"","Modnames","K","QAIC","Delta_QAIC","ModelLik","QAICWt","Quasi.LL","c_hat","Cum.Wt"
"14","psi(elionurus+trees+grain+grain^2)p(atemp+wind)",9,133.714857586183,0,1,0.258707825796118,-57.8574287930915,1.31,0.258707825796118
"15","psi(elionurus+trees+area+grain+grain^2)p(atemp+wind)",10,133.824789565119,0.109931978935606,0.946517338964496,0.244871442841832,-56.9123947825593,1.31,0.50357926863795
"25","psi(trees+area+grain+grain^2)p(atemp+wind)",9,135.640723067602,1.92586548141918,0.381771605437215,0.0987673019933553,-58.8203615338011,1.31,0.602346570631305
"28","psi(trees+grass_suit+grain+grain^2)p(atemp+wind)",9,136.550435039614,2.83557745343137,0.24224910403896,0.062671739006977,-59.2752175198072,1.31,0.665018309638282
"24","psi(trees+grain+grain^2)p(atemp+wind)",8,136.728588116901,3.01373053071774,0.221603558647605,0.0573305748464043,-60.3642940584504,1.31,0.722348884484686
"13","psi(elionurus+trees+grain)p(atemp+wind)",8,136.815580255377,3.10072266919423,0.212171295144797,0.0548903744632568,-60.4077901276886,1.31,0.777239258947943
"17","psi(elionurus+grass_suit+grain+grain^2)p(atemp+wind)",9,136.815895007248,3.10103742106514,0.212137907116051,0.0548817367189324,-59.4079475036241,1.31,0.832120995666875
"16","psi(elionurus+grain+grain^2)p(atemp+wind)",8,136.830302473092,3.11544488690876,0.210615213414822,0.0544878039421339,-60.4151512365459,1.31,0.886608799609009
"12","psi(elionurus+grain)p(atemp+wind)",7,137.855201574075,4.14034398789153,0.126164080380846,0.0326396349288953,-61.9276007870373,1.31,0.919248434537905
"19","psi(elionurus+comp+grain+grain^2)p(atemp+wind)",9,138.747999673598,5.03314208741497,0.0807359727771174,0.0208870279807026,-60.373999836799,1.31,0.940135462518607
"26","psi(grass_suit+grain+grain^2)p(atemp+wind)",8,138.946437718414,5.23158013223082,0.0731100041352117,0.0189141302137658,-61.4732188592069,1.31,0.959049592732373
"7","psi(grain+grain^2)p(atemp+wind)",7,140.163947609105,6.44909002292201,0.0397738741168345,0.0102898124962547,-63.0819738045525,1.31,0.969339405228628
"11","psi(elionurus+trees)p(atemp+wind)",7,140.738969885004,7.02411229882063,0.0298355050689898,0.0077186786479274,-63.3694849425018,1.31,0.977058083876555
"23","psi(trees+grain)p(atemp+wind)",7,140.849708632905,7.13485104672216,0.0282284336554862,0.0073029166966408,-63.4248543164526,1.31,0.984361000573196
"22","psi(comp+grain+grain^2)p(atemp+wind)",8,142.092586788804,8.37772920262069,0.0151634917115075,0.00392291397216155,-63.0462933944019,1.31,0.988283914545358
"6","psi(grain)p(atemp+wind)",6,142.398935766101,8.68407817991795,0.0130099726334775,0.00336578173367396,-65.1994678830505,1.31,0.991649696279032
"29","psi(*)p(*)",16,142.426765668809,8.71190808262554,0.0128301932089613,0.0033192713896345,-55.2133828344043,1.31,0.994968967668666
"21","psi(comp+grain)p(atemp+wind)",7,143.706826172099,9.99196858591637,0.00676505902083159,0.00175017371066175,-64.8534130860497,1.31,0.996719141379328
"2","psi(elionurus)p(atemp+wind)",6,144.994861758215,11.2800041720319,0.00355286099488886,0.000919152943343529,-66.4974308791075,1.31,0.997638294322671
"10","psi(elionurus+grass_suit)p(atemp+wind)",7,145.868120401087,12.1532628149039,0.00229589758477952,0.000593966672408868,-65.9340602005435,1.31,0.99823226099508
"4","psi(trees)p(atemp+wind)",6,145.886986890842,12.1721293046594,0.00227434165169371,0.000588389983827232,-66.9434934454212,1.31,0.998820650978907
"20","psi(elionurus+shrub)p(atemp+wind)",7,146.663274280184,12.9484166940015,0.00154271975277342,0.000399113673052735,-66.3316371400922,1.31,0.99921976465196
"18","psi(elionurus+comp)p(atemp+wind)",7,146.848309644805,13.1334520586225,0.00140639437683325,0.000363845231442417,-66.4241548224027,1.31,0.999583609883403
"27","psi(trees+grass_suit)p(atemp+wind)",7,147.095908288542,13.3810507023592,0.00124262978442904,0.000321478049799134,-66.5479541442711,1.31,0.999905087933202
"1","psi(.)p(atemp+wind)",5,151.723463831536,18.0086062453525,0.000122879897504442,3.17899911174239e-05,-70.8617319157678,1.31,0.999936877924319
"3","psi(grass_suit)p(atemp+wind)",6,152.286062484997,18.5712048988137,9.27500377557375e-05,2.39951606102947e-05,-70.1430312424984,1.31,0.999960873084929
"8","psi(area)p(atemp+wind)",6,153.360644898889,19.6457873127055,5.41965309406162e-05,1.40210666853388e-05,-70.6803224494443,1.31,0.999974894151615
"9","psi(comp)p(atemp+wind)",6,153.574552638024,19.8596950518409,4.86992209014534e-05,1.25988695573799e-05,-70.787276319012,1.31,0.999987493021172
"5","psi(shrub)p(atemp+wind)",6,153.589193233073,19.8743356468896,4.83440297538167e-05,1.25069788278328e-05,-70.7945966165363,1.31,1
